Issue Type,Summary,Epic Name,Epic Link,Feature ID,Epic ID,Epic,Phase,Related User Flow,Related FR / Rule,Description,Scope Note,Estimation Boundary,Priority,Labels,Components,Status
Task,Account Deletion,,Authentication & Account Integration,E1-F10,E1,Authentication & Account Integration,Phase 1,UF-004,FR-LIFE-005 to FR-LIFE-006,User delete account applies to all personas through SSO lifecycle.,Do not treat Workplace-only offboarding as account deletion.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Account Reactivation within 30 Days,,Authentication & Account Integration,E1-F11,E1,Authentication & Account Integration,Phase 1,UF-004,FR-LIFE-007 to FR-LIFE-008,Suspended account can be reactivated within 30 days.,Exact suspended status label remains open.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Day 31 Hard Delete,,Authentication & Account Integration,E1-F12,E1,Authentication & Account Integration,Phase 1,UF-004,FR-LIFE-009 to FR-LIFE-010,SSO owns hard delete on Day 31 and downstream delete notification where required.,Downstream cleanup proof remains open dependency.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Epic,Workplace Persona Experience,Workplace Persona Experience,,E2,E2,Workplace Persona Experience,Phase 1,,,,Workplace persona experience epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Task,Workplace Homepage,,Workplace Persona Experience,E2-F01,E2,Workplace Persona Experience,Phase 1,UF-005,FR-WP-001 to FR-WP-007,Show Workplace home when FS type is detected and persona is eligible.,Workplace experience only; tower context is separated to E10.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Task,Workplace Persona Display,,Workplace Persona Experience,E2-F02,E2,Workplace Persona Experience,Phase 1,UF-005,FR-WP-001 to FR-WP-005,Display Workplace persona card and relevant metadata when available.,Metadata source and pending/error handling depend on FS.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Task,Persona Switching,,Workplace Persona Experience,E2-F03,E2,Workplace Persona Experience,Phase 1,UF-005,FR-WP-003 to FR-WP-005,Retail home remains default unless user changes default persona in settings.,Persona switching only; building/tower context switching belongs to E10.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Task,Pending Workplace State,,Workplace Persona Experience,E2-F04,E2,Workplace Persona Experience,Phase 1,UF-005,FR-WP-002; FR-WP-005,"If FS type is found but company or authorization data is incomplete, show pending Workplace state.",No Workplace home is shown if FS type is not found.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Task,Workplace Quick Actions,,Workplace Persona Experience,E2-F05,E2,Workplace Persona Experience,Phase 1,"UF-005, UF-011",FR-WP-006; FR-WP-007,"Traffic, Map, and Promotion are available as webview quick actions; Parking is integrated through the app parking flow.",Traffic uses existing PARQ/OBK traffic source; no new native traffic integration is created by this feature.,,Medium,"PARQ,Phase1,FeatureBreakdown",Workplace,Draft / Ready for Bas Review
Epic,Profile Management,Profile Management,,E3,E3,Profile Management,Phase 1,,,,Profile Management epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,View Profile,,Profile Management,E3-F01,E3,Profile Management,Phase 1,UF-008,FR-PROFILE-001 to FR-PROFILE-006,User can view existing profile and account information.,Existing OBK profile behavior reused.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,Edit Profile,,Profile Management,E3-F02,E3,Profile Management,Phase 1,UF-008,FR-PROFILE-001; FR-PROFILE-006,Existing OBK editable account-management behavior remains available.,PARQ company/tower/floor metadata is not user-editable.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,Company Information Display,,Profile Management,E3-F03,E3,Profile Management,Phase 1,UF-008,FR-PROFILE-004,Display company metadata where available from FS.,View-only for PARQ workplace metadata.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,Tower Information Display,,Profile Management,E3-F04,E3,Profile Management,Phase 1,"UF-008, UF-006",FR-PROFILE-004; FR-TOWER-001,Display tower/building metadata where available.,Context selection behavior is owned by E10.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,Floor Information Display,,Profile Management,E3-F05,E3,Profile Management,Phase 1,UF-008,FR-PROFILE-002 to FR-PROFILE-005,OBK default floor behavior remains as-is; PARQ floor comes from FS only.,PARQ floor is view-only and cannot be manually set in Phase 1.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Task,Identity Information Display,,Profile Management,E3-F06,E3,Profile Management,Phase 1,UF-008,FR-PROFILE-001; FR-SIGNUP-007,Display identity information consistently with existing OBK account management.,Add phone/email follows existing OBK logic where applicable.,,Medium,"PARQ,Phase1,FeatureBreakdown",Profile,Draft / Ready for Bas Review
Epic,QR Identity,QR Identity,,E4,E4,QR Identity,Phase 1,,,,QR Identity epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",QR Identity,Draft / Ready for Bas Review
Task,PARQ User QR Enablement,,QR Identity,E4-F01,E4,QR Identity,Phase 1,UF-009,FR-QR-001 to FR-QR-007,Existing OBK My QR is enabled for PARQ users through AccountID/PublicID identity mapping.,Do not estimate a new QR feature; QR validity/refresh remains open.,,Medium,"PARQ,Phase1,FeatureBreakdown",QR Identity,Draft / Ready for Bas Review
Epic,Physical Access,Physical Access,,E5,E5,Physical Access,Phase 1,,,,Physical Access epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Physical Access,Draft / Ready for Bas Review
Task,PARQ Elevator Integration,,Physical Access,E5-F01,E5,Physical Access,Phase 1,UF-015,FR-QR-006; FR-QR-007; FR-TOWER-004,Elevator access uses selected context and FS/access authorization.,Final hardware testing remains blocked by site/contact readiness.,,Medium,"PARQ,Phase1,FeatureBreakdown",Physical Access,Draft / Ready for Bas Review
Task,PARQ Turnstile Integration,,Physical Access,E5-F02,E5,Physical Access,Phase 1,UF-016,FR-QR-003; FR-QR-006; FR-QR-007,Turnstile access uses QR/access validation and FS authorization.,Final hardware testing remains blocked by site/contact readiness.,,Medium,"PARQ,Phase1,FeatureBreakdown",Physical Access,Draft / Ready for Bas Review
Task,PARQ Access Authorization Mapping,,Physical Access,E5-F03,E5,Physical Access,Phase 1,"UF-015, UF-016",FR-QR-006; FR-QR-007; FR-TOWER-004,Physical Access owns access result handling after QR identity and tower context are supplied.,Do not duplicate E4 QR enablement or E10 context selection.,,Medium,"PARQ,Phase1,FeatureBreakdown",Physical Access,Draft / Ready for Bas Review
Epic,Parking Experience,Parking Experience,,E6,E6,Parking Experience,Phase 1,,,,Parking Experience epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Task,Parking Availability,,Parking Experience,E6-F01,E6,Parking Experience,Phase 1,UF-010,FR-PARK-001 to FR-PARK-006,"User selects location, currently One Bangkok or The PARQ, then views selected-location parking availability.",Future Frasers Property scale is noted only; not Phase 1 scope.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Task,Traffic Monitoring,,Parking Experience,E6-F02,E6,Parking Experience,Phase 1,UF-011,FR-WP-006,Route to existing PARQ/OBK traffic source through quick action/webview.,No new native traffic integration unless later approved.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Task,Parking Ticket Routing,,Parking Experience,E6-F03,E6,Parking Experience,Phase 1,UF-012,FR-PARK-007 to FR-PARK-010,App identifies whether the scanned ticket is One Bangkok or The PARQ and routes accordingly.,One Bangkok follows as-is flow; The PARQ follows PARQ-specific flow.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Task,PARQ Parking Ticket Processing,,Parking Experience,E6-F04,E6,Parking Experience,Phase 1,UF-012,FR-PARK-010 to FR-PARK-012,The PARQ ticket uses PARQ-specific rate/capability behavior and hides unsupported OBK-only features.,VIP Parking and Phase 1.5 redemption features are excluded unless supported/approved.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Task,Argento Payment Integration,,Parking Experience,E6-F05,E6,Parking Experience,Phase 1,UF-012,FR-PARK-013 to FR-PARK-015,"App shows fee, user taps Payment, app routes to Argento QR PromptPay, then receives/checks payment status.",Argento callback/status/reconciliation/refund/support details remain open dependencies.,,Medium,"PARQ,Phase1,FeatureBreakdown",Parking,Draft / Ready for Bas Review
Epic,Visitor Pass Management,Visitor Pass Management,,E7,E7,Visitor Pass Management,Phase 1,,,,Visitor Pass Management epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Task,Visitor Pass Creation,,Visitor Pass Management,E7-F01,E7,Visitor Pass Management,Phase 1,UF-013,FR-VISITOR-001 to FR-VISITOR-005,Host creates visitor pass in OBK flow where supported by existing logic and FS authorization.,Visitor pass is managed inside OBK at workflow level.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Task,Visitor Information Management,,Visitor Pass Management,E7-F02,E7,Visitor Pass Management,Phase 1,UF-013,FR-VISITOR-002,Capture visitor details required by existing visitor-pass behavior and FS/access support.,Final FS visitor registration contract remains open.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Task,Visitor Pass Distribution,,Visitor Pass Management,E7-F03,E7,Visitor Pass Management,Phase 1,UF-013,FR-VISITOR-002 to FR-VISITOR-004,Visitor receives pass/QR or equivalent access information through supported OBK behavior.,Notification/share channel details follow existing app behavior unless separately confirmed.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Task,Visitor Pass Validation,,Visitor Pass Management,E7-F04,E7,Visitor Pass Management,Phase 1,"UF-013, UF-015, UF-016",FR-VISITOR-003; FR-QR-006,Visitor pass validation depends on FS/access authorization where physical access is involved.,Physical access enforcement belongs to E5.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Task,Visitor Pass Usage,,Visitor Pass Management,E7-F05,E7,Visitor Pass Management,Phase 1,UF-013,FR-VISITOR-003 to FR-VISITOR-005,Visitor uses pass within valid property/tower/time authorization.,Visitor pass/parking ticket are not automatically cancelled by Workplace offboarding alone if account remains active.,,Medium,"PARQ,Phase1,FeatureBreakdown",Visitor Pass,Draft / Ready for Bas Review
Epic,Notification Integration,Notification Integration,,E8,E8,Notification Integration,Phase 1,,,,Notification Integration epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Notification,Draft / Ready for Bas Review
Task,PARQ Notification Enablement,,Notification Integration,E8-F01,E8,Notification Integration,Phase 1,UF-014,FR-NOTIF-001 to FR-NOTIF-005,Reuse existing OBK push notification mechanism and configuration for PARQ users.,The PARQ CMS campaigns/building news and new notification platform are excluded from Phase 1.,,Medium,"PARQ,Phase1,FeatureBreakdown",Notification,Draft / Ready for Bas Review
Epic,CMS Multi-Property User Management,CMS Multi-Property User Management,,E9,E9,CMS Multi-Property User Management,Phase 1,,,,CMS Multi-Property User Management epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",CMS,Draft / Ready for Bas Review
Task,PARQ User Visibility,,CMS Multi-Property User Management,E9-F01,E9,CMS Multi-Property User Management,Phase 1,UF-007,FR-CMS-001 to FR-CMS-006,CMS/admin can view PARQ user metadata for support and management.,"Phase 1 is view-only; no metadata edit, Organization Isolation, CMS sub-menu, or rate configuration.",,Medium,"PARQ,Phase1,FeatureBreakdown",CMS,Draft / Ready for Bas Review
Epic,Tower Context Management,Tower Context Management,,E10,E10,Tower Context Management,Phase 1,,,,Tower Context Management epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Tower Context,Draft / Ready for Bas Review
Task,Tower Context Selection,,Tower Context Management,E10-F01,E10,Tower Context Management,Phase 1,UF-006,FR-TOWER-001 to FR-TOWER-003,User can select eligible building/tower context where the user has multiple rights.,Building and tower are treated as same business concept for PARQ scope.,,Medium,"PARQ,Phase1,FeatureBreakdown",Tower Context,Draft / Ready for Bas Review
Task,Context Persistence,,Tower Context Management,E10-F02,E10,Tower Context Management,Phase 1,UF-006,FR-TOWER-002,App remembers selected context where supported.,Persistence/invalidation details depend on BMS/App State rules.,,Medium,"PARQ,Phase1,FeatureBreakdown",Tower Context,Draft / Ready for Bas Review
Task,Context Authorization,,Tower Context Management,E10-F03,E10,Tower Context Management,Phase 1,UF-006,FR-TOWER-001; FR-TOWER-003; FR-TOWER-006,Authorization is based on selected Persona Card context and eligible FS data.,Empty FS metadata is filtered to prevent broken user experience.,,Medium,"PARQ,Phase1,FeatureBreakdown",Tower Context,Draft / Ready for Bas Review
Task,Hardware Journey Context Mapping,,Tower Context Management,E10-F04,E10,Tower Context Management,Phase 1,"UF-006, UF-015, UF-016",FR-TOWER-004,"During hardware-related journeys, switching is blocked or controlled to prevent access-permission mismatch.",Final hardware-lock rule and site behavior remain open dependencies.,,Medium,"PARQ,Phase1,FeatureBreakdown",Tower Context,Draft / Ready for Bas Review
